Valor da Funcao: 5.014367e-01; Norma do Gradiente: 5.774448e-02; t: 2.560000e+02; k: 1
Valor da Funcao: 4.450843e-01; Norma do Gradiente: 6.352393e-02; t: 2.301762e+01; k: 2
Valor da Funcao: 4.443842e-01; Norma do Gradiente: 1.741501e-02; t: 1.301023e+01; k: 3
Valor da Funcao: 4.094944e-01; Norma do Gradiente: 5.277651e-02; t: 2.642165e+02; k: 4
Valor da Funcao: 3.916975e-01; Norma do Gradiente: 3.484199e-02; t: 3.010316e+01; k: 5
Valor da Funcao: 3.067895e-01; Norma do Gradiente: 4.872799e-02; t: 5.973695e+01; k: 6
Valor da Funcao: 2.905401e-01; Norma do Gradiente: 8.550872e-02; t: 1.940885e+01; k: 7
Valor da Funcao: 2.410187e-01; Norma do Gradiente: 4.938436e-02; t: 1.729563e+01; k: 8
Valor da Funcao: 2.396440e-01; Norma do Gradiente: 1.528184e-02; t: 7.133745e+00; k: 9
Valor da Funcao: 2.383352e-01; Norma do Gradiente: 9.007650e-03; t: 1.187493e+01; k: 10
Valor da Funcao: 2.358126e-01; Norma do Gradiente: 3.366985e-02; t: 1.580733e+01; k: 11
Valor da Funcao: 2.348217e-01; Norma do Gradiente: 3.333292e-02; t: 1.796666e+00; k: 12
Valor da Funcao: 2.339177e-01; Norma do Gradiente: 1.308599e-02; t: 1.099530e+00; k: 13
Valor da Funcao: 2.338025e-01; Norma do Gradiente: 1.023302e-02; t: 2.045973e+00; k: 14
Valor da Funcao: 2.337434e-01; Norma do Gradiente: 6.563411e-03; t: 1.306553e+00; k: 15
Valor da Funcao: 2.337423e-01; Norma do Gradiente: 7.635479e-03; t: 1.849092e+00; k: 16
Valor da Funcao: 2.336987e-01; Norma do Gradiente: 2.571971e-03; t: 8.306207e-01; k: 17
Valor da Funcao: 2.336892e-01; Norma do Gradiente: 4.193214e-03; t: 2.954986e+00; k: 18
Valor da Funcao: 2.336813e-01; Norma do Gradiente: 4.881149e-03; t: 1.324482e+00; k: 19
Valor da Funcao: 2.336785e-01; Norma do Gradiente: 3.970097e-03; t: 1.509973e+00; k: 20
Valor da Funcao: 2.336772e-01; Norma do Gradiente: 5.954049e-03; t: 1.529901e+00; k: 21
Valor da Funcao: 2.336761e-01; Norma do Gradiente: 5.059159e-03; t: 1.499004e+00; k: 22
Valor da Funcao: 2.336745e-01; Norma do Gradiente: 6.693520e-03; t: 1.488915e+00; k: 23
Valor da Funcao: 2.336731e-01; Norma do Gradiente: 5.624700e-03; t: 1.482930e+00; k: 24
Valor da Funcao: 2.336712e-01; Norma do Gradiente: 7.135878e-03; t: 1.487943e+00; k: 25
Valor da Funcao: 2.336696e-01; Norma do Gradiente: 5.949097e-03; t: 1.491075e+00; k: 26
Valor da Funcao: 2.336673e-01; Norma do Gradiente: 7.502567e-03; t: 1.500681e+00; k: 27
Valor da Funcao: 2.336652e-01; Norma do Gradiente: 6.139352e-03; t: 1.508101e+00; k: 28
Valor da Funcao: 2.336622e-01; Norma do Gradiente: 7.887756e-03; t: 1.521720e+00; k: 29
Valor da Funcao: 2.336590e-01; Norma do Gradiente: 6.214814e-03; t: 1.533628e+00; k: 30
Valor da Funcao: 2.336544e-01; Norma do Gradiente: 8.394826e-03; t: 1.553465e+00; k: 31
Valor da Funcao: 2.336486e-01; Norma do Gradiente: 6.844909e-03; t: 1.572694e+00; k: 32
Valor da Funcao: 2.336398e-01; Norma do Gradiente: 9.243335e-03; t: 1.605118e+00; k: 33
Valor da Funcao: 2.336256e-01; Norma do Gradiente: 8.405984e-03; t: 1.640308e+00; k: 34
Valor da Funcao: 2.336008e-01; Norma do Gradiente: 1.116202e-02; t: 1.705080e+00; k: 35
Valor da Funcao: 2.335427e-01; Norma do Gradiente: 1.253847e-02; t: 1.787005e+00; k: 36
Valor da Funcao: 2.335344e-01; Norma do Gradiente: 3.527729e-02; t: 3.933061e+00; k: 37
Valor da Funcao: 2.307446e-01; Norma do Gradiente: 4.308627e-02; t: 2.099526e+01; k: 38
Valor da Funcao: 2.196563e-01; Norma do Gradiente: 4.194443e-02; t: 8.874005e+00; k: 39
Valor da Funcao: 2.169757e-01; Norma do Gradiente: 1.981665e-02; t: 2.574317e+00; k: 40
Valor da Funcao: 2.167455e-01; Norma do Gradiente: 1.563225e-02; t: 1.656743e+00; k: 41
Valor da Funcao: 2.165960e-01; Norma do Gradiente: 2.345772e-03; t: 9.746891e-01; k: 42
Valor da Funcao: 2.165876e-01; Norma do Gradiente: 2.184206e-03; t: 1.756657e+00; k: 43
Valor da Funcao: 2.165834e-01; Norma do Gradiente: 1.185214e-03; t: 1.224748e+00; k: 44
Valor da Funcao: 2.165822e-01; Norma do Gradiente: 1.144322e-03; t: 1.950649e+00; k: 45
Valor da Funcao: 2.165812e-01; Norma do Gradiente: 5.242279e-04; t: 1.115883e+00; k: 46
Valor da Funcao: 2.165810e-01; Norma do Gradiente: 4.461046e-04; t: 1.757340e+00; k: 47
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 1.497637e-04; t: 1.019271e+00; k: 48
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 1.287167e-04; t: 1.752141e+00; k: 49
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 7.411883e-05; t: 1.215618e+00; k: 50
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 7.174469e-05; t: 1.869487e+00; k: 51
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 2.464198e-05; t: 1.035260e+00; k: 52
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 1.936900e-05; t: 1.724514e+00; k: 53
Valor da Funcao: 2.165808e-01; Norma do Gradiente: 8.777011e-06; t: 1.086723e+00; k: 54
x: [ 1.022045 2.431491 5.803917 ]
Elapsed time: 0.029849 seconds
Erro no teste: 0.262142; Gradiente no teste: -0.033911
